PfiFlowDefinition,Description,IsFlowEnabled,IsSubProcess,NotifyByEmail
"FSM_Strata_APDetail_Export","FSM_Strata_APDetail_Export","Yes","No","None"
"FSM_Strata_GLCapital_Export","FSM_Strata_GLCapital_Export","Yes","No","None"
"FSM_Strata_GLDetail_Export","FSM_Strata_GLDetail_Export","Yes","No","None"
"FSM_Strata_GLSummary_Export","FSM_Strata_GLSummary_Export","Yes","No","None"
"FSM_Strata_InventoryDetail_Extract","FSM_Strata_InventoryDetail_Extract","Yes","No","None"
"FSM_Strata_POCapital_Export","FSM_Strata_POCapital_Export","Yes","No","None"
"FSM_Strata_PODetail_Extract","FSM_Strata_PODetail_Extract","Yes","No","None"
"FSM_Strata_ShipToLocation_Export","FSM_Strata_ShipToLocation_Export","Yes","No","None"
"FSM_Strata_VendorCapital_Export","FSM_Strata_VendorCapital_Export","Yes","No","None"
"FileCreationSampleFlow","FileCreationSampleFlow","Yes","No","None"
"GLAutomatedInterface","GLAutomatedInterface","Yes","No","None"
"GetException","GetException","Yes","Yes","None"
"HealthTrustToInforContractGPO","HealthTrustToInforContractGPO","Yes","No","None"
"HealthTrustToInforContractGPO_V2","HealthTrustToInforContractGPO_V2","Yes","No","None"
"HealthTrustToInforContractGPO_V3","HealthTrustToInforContractGPO_V3","Yes","No","None"
"IIReplicationProcessor","IIReplicationProcessor","Yes","No","None"
"ImmediateApproval","ImmediateApproval","Yes","No","None"
"ImportApprovalAssignments","ImportApprovalAssignments","Yes","No","None"
"IntercompanyBillingDocumentApproval","IntercompanyBillingDocumentApproval","Yes","No","None"
"IntercompanyBillingDocumentApprovalForReceivable","IntercompanyBillingDocumentApprovalForReceivable","Yes","No","None"
"InvoiceApproval","InvoiceApproval","Yes","No","None"
"InvoiceApproval_V2","InvoiceApproval_V2","Yes","No","None"
"ItemApproval","ItemApproval","Yes","No","None"
"JournalEntryApproval","JournalEntryApproval","Yes","No","None"
"JournalizeInvoiceApproval","JournalizeInvoiceApproval","Yes","No","None"
"JournalizeRevenueApproval","JournalizeRevenueApproval","Yes","No","None"
"LaborDistributionApproval","LaborDistributionApproval","Yes","No","None"
"LaborRedistributionApproval","LaborRedistributionApproval","Yes","No","None"
"LeaseQueryDataImport","LeaseQueryDataImport","Yes","No","None"
"OneTimeTaskApproval","OneTimeTaskApproval","Yes","No","None"
"PortalCustomerUpdateRequest","PortalCustomerUpdateRequest","Yes","No","None"
"PositivePayOutputFile","PositivePayOutputFile","Yes","No","None"
"PostProvisioning-ValidatingAndRegisterOutOfDateSchemasSubProcess","PostProvisioning-ValidatingAndRegisterOutOfDateSchemasSubProcess","Yes","Yes","None"
"ProjectContractChangeRequest","ProjectContractChangeRequest","Yes","No","None"
"ProjectFundingSourceChangeRequest","ProjectFundingSourceChangeRequest","Yes","No","None"
"PurchaseAndSalesReportBelgiumFile","PurchaseAndSalesReportBelgiumFile","Yes","No","None"
"PurchaseOrderApproval","PurchaseOrderApproval","Yes","No","None"
"PurchaseOrderOutput","PurchaseOrderOutput","Yes","No","None"
"RecallApproval","RecallApproval","Yes","No","None"
"ReceivableApplicationAdjustmentApproval","ReceivableApplicationAdjustmentApproval","Yes","No","None"
"ReconciliationApproval","ReconciliationApproval","Yes","No","None"
"ReconciliationDistributionApproval","ReconciliationDistributionApproval","Yes","No","None"
"RecurringJournalEntryApproval","RecurringJournalEntryApproval","Yes","No","None"
